,SRR6337113,SRR6337114,SRR6337115,SRR6337116,SRR6337117,SRR6337118,SRR6337119,SRR6337120,SRR6337121
Other,7.1992264041194565,8.697534309453312,7.202585540246294,5.459352346026978,11.766533717990093,10.35649967167421,8.84035149335536,9.94795458298311,4.388884495028239
CD27neg_Memory_B_cells,0.5071220184165255,0.1120485137333872,0.12264349974335015,0.4434604522064926,0.36521457551663694,0.07735657813404236,0.14665111970425052,0.1958329331167198,0.053648021363312905
CD57neg_Cytotoxic_NK_cells,2.357437063589097,2.4139406628865627,1.756257799019493,1.4559598591305094,2.2129630802491156,7.600222204967441,2.538275284332518,1.436128813776771,2.804567457468009
CD57pos_Cytotoxic_NK_cells,0.9451996874986726,1.9318284805158195,2.6162805373124027,2.0178572173927387,3.5248388301681657,8.139530619936847,12.426339667320423,1.179659401678549,7.156562078251724
CDC,5.687235026282849,1.9314794859262334,2.3659285528417096,1.9088128348506272,5.967283080295212,5.565513928356989,2.1020769683486007,3.3728521761393235,3.8787926979591276
Central_memory_CD8_T_cells,1.0780635581783338,2.5107624578390935,2.1040315318878493,1.4616966795521718,2.722957315411257,2.6730488062060376,2.490657087348154,2.4950914407070006,1.6462526462638363
Central_memory_T_helpers,0.0,1.6955735015926312,1.01678876582515,1.64691843780453,0.0,1.3874015983246508,1.8635406998125819,0.07257236389248274,0.4441967234641792
Class_switched_memory_B_cells,1.5775682830092315,2.519701992342135,1.51039763440808,3.377663053851639,2.6604782553019177,0.565936601338559,0.953637917549438,1.6011393748707943,2.596854886069088
Classical_monocytes,27.04554771890752,17.82828471591309,19.057478448454866,21.951837526092312,25.248129458061197,28.14989844734383,28.962853951958284,19.72450771395755,27.870458971699573
Effector_memory_CD8_T_cells,0.425815037648938,0.4517835981323775,1.7710049646080066,0.30111459555355174,1.6299232353976714,0.36883613040245544,0.7811835635394169,1.075796306111416,0.4951336240771123
Effector_memory_T_helpers,1.6343306857585516,0.4826454280535663,1.499315581547237,0.25736446676015184,0.0,0.6415861386538088,0.13319394098295415,0.11347341317332464,0.06868456893124486
Eosinophils,0.0,0.0,2.351342999476806,1.1109913024372113,0.0,,0.0,0.0,0.0
Naive_B_cells,9.53371613366162,3.2383883562231035,3.8304229935499485,8.860638392507841,6.565565194823296,3.684355456672988,5.220089070252497,10.531333680945485,4.972334098049564
Naive_CD8_T_cells,22.135174751750935,14.784805527421288,12.30404687073514,11.945681056149825,12.22957651485681,6.93585692790501,9.669164016964269,17.448472955207745,17.98065924472843
Naive_T_helpers,7.9274359044628,9.969331253770422,18.22440606282811,14.780304026531219,5.10675116861273,10.266370024242889,7.8439432412112335,12.601399206791244,11.05290902807899
Neutrophils,0.41226766507815776,20.607706432317816,5.798620277543797,6.16195810157125,6.551097052258085,,6.405226005675678,8.604587839626578,0.42051261904953113
Non_classical_monocytes,0.0,1.2352038987883505,4.522309061248278,1.7347946144904691,0.5240869898572914,1.1132342618820024,0.04820344735224748,1.2877972371284374,1.1409937667593297
Non_switched_memory_B_cells,2.37126613164573,2.154229932669139,0.8156445229583222,3.131249746018103,0.639023069547383,1.8653067668878556,1.0118554461139895,2.2177096223523285,3.8574259909305035
PDC,0.0,0.03946529027032567,0.09533926221364393,0.154590309753978,0.039396707370901264,0.0817726566013407,0.19464436544569647,0.0,0.09462582534087703
Plasma_B_cells,0.9452519247749711,1.1256389790027779,1.2989385695949625,0.5731999170812784,3.70419898191662,1.433833012150368,1.485576285909662,2.5739556682934586,1.3204745222466918
Plasmablasts,0.6123884341327178,0.0,0.0,0.0,1.1672917657742885,0.1322644151914585,0.0,0.020893836585566837,0.14629653432123346
Regulatory_NK_cells,3.0535075149858812,3.292005781388764,6.44912939716923,3.977369729882919,2.879352991670113,4.000025211692511,1.8053245077302562,1.5211977447706748,1.8437781230422141
TEMRA_CD8_T_cells,1.0270668219062697,0.29272379270157495,0.8294772469964404,4.012620582135844,1.404305378657787,2.345977063520274,1.5462494371697866,0.2897471907328306,2.1678977648821904
TEMRA_T_helpers,0.5759982787120447,0.9518710842760727,1.5329189468495708,1.9763697700885714,0.3653176068754207,1.1607147000681484,0.6113634264721746,0.28901937780002346,1.4117066495038162
Transitional_memory_CD8_T_cells,0.9167475146601283,1.3025950557438173,0.24218748212003685,0.9101944979627926,1.0742969526850419,0.9045225094340827,1.8277914336226448,1.1014972852219707,1.264201283552472
Transitional_memory_T_helpers,0.3932964891777288,0.4304514690383249,0.1856318601935369,0.38800048416700683,0.0,0.24820301262789535,0.0,0.08331807254724834,0.0
Tregs,1.6383369516418425,0.0,0.49687159062774544,0.0,1.6514180767029651,0.30173325578429805,1.0918076218278927,0.21406176158935336,0.9221483789387048
Non_plasma_B_cells,14.602061000865826,8.024368794967765,6.279108650659701,15.813011644584074,11.397572860963521,6.3252198182249035,7.332233553620175,14.566909447870893,11.6265595307337
Monocytes,27.04554771890752,19.06348861470144,23.57978750970314,23.686632140582784,25.77221644791849,29.263132709225832,29.01105739931053,21.012304951085987,29.011452738458903
Memory_T_helpers,2.0276271749362804,2.6086703986845223,2.701736207565924,2.292283388731689,0.0,2.277190749606355,1.9967346407955362,0.2693638496130557,0.512881292395424
Memory_CD8_T_cells,2.4206261104874,4.265141111715288,4.117223978615893,2.673005773068516,5.42717750349397,3.946407446042576,5.099632084510216,4.6723850320403875,3.405587553893421
